
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-04 00:00:00'   269.431    19.200  1400.000   800.000   337.500   810.000
'2015-07-04 00:15:00'   330.979    19.200  1400.000   800.000   337.500   784.464
'2015-07-04 00:30:00'   216.343    19.200  1400.000   800.000   337.500   827.447
'2015-07-04 00:45:00'   194.336    19.200  1400.000   800.000   337.500   812.160
'2015-07-04 01:00:00'   196.702    19.200  1400.000   800.000   337.500   787.000
'2015-07-04 01:15:00'   227.340    19.200  1400.000   800.000   337.500   772.768
'2015-07-04 01:30:00'   177.493    19.200  1400.000   800.000   337.500   760.731
'2015-07-04 01:45:00'   122.816    19.200  1400.000   800.000   337.500   706.047
'2015-07-04 02:00:00'    94.622    19.200  1400.000   800.000   337.500   699.000
'2015-07-04 02:15:00'    70.000    19.200  1400.000   800.000   337.500   707.218
'2015-07-04 02:30:00'    70.000    19.200  1400.000   800.000   337.500   662.389
'2015-07-04 02:45:00'    70.000    19.200  1400.000   800.000   337.500   634.802
'2015-07-04 03:00:00'    70.000    19.200  1400.000   800.000   337.500   598.000
'2015-07-04 03:15:00'    95.090    19.200  1400.000   800.000   337.500   613.534
'2015-07-04 03:30:00'   146.813    19.200  1400.000   800.000   337.500   567.541
'2015-07-04 03:45:00'   107.553    19.200  1400.000   800.000   337.500   536.777
'2015-07-04 04:00:00'    86.073    19.200  1400.000   800.000   337.500   510.000
'2015-07-04 04:15:00'   115.234    19.200  1400.000   800.000   337.500   492.927
'2015-07-04 04:30:00'    70.000    19.200  1400.000   800.000   337.500   493.544
'2015-07-04 04:45:00'   120.459    19.200  1400.000   800.000   337.500   453.458
'2015-07-04 05:00:00'   160.315    19.200  1400.000   800.000   337.500   433.000
'2015-07-04 05:15:00'   199.782    19.200  1400.000   800.000   337.500   409.004
'2015-07-04 05:30:00'   299.568    19.200  1400.000   800.000   337.500   433.003
'2015-07-04 05:45:00'   245.465    19.200  1400.000   800.000   337.500   413.626
'2015-07-04 06:00:00'   331.622    19.200  1400.000   800.000   337.500   403.000
'2015-07-04 06:15:00'   369.804    19.200  1400.000   800.000   337.500   367.507
