
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
'2015-07-03 18:00:00'    4922.000                 640.890
'2015-07-03 19:00:00'    5493.500                 185.283
'2015-07-03 20:00:00'    5562.890     963.110            
'2015-07-03 21:00:00'    5215.209    2218.791            
'2015-07-03 22:00:00'    4635.742    3736.258            
'2015-07-03 23:00:00'    4056.274    3933.726            
'2015-07-04 00:00:00'    3560.028    5081.972            
'2015-07-04 01:00:00'    3465.094    5348.906            
'2015-07-04 02:00:00'    3275.225    4548.775            
'2015-07-04 03:00:00'    3132.824    4365.176            
'2015-07-04 04:00:00'    3085.357    3940.643            
'2015-07-04 05:00:00'    3085.357    3550.643            
'2015-07-04 06:00:00'    3227.758    3199.242            
'2015-07-04 07:00:00'    3512.561    1431.439            
'2015-07-04 08:00:00'    3866.500                  73.264
'2015-07-04 09:00:00'    4224.566     195.934            
'2015-07-04 10:00:00'    4366.967     502.533            
'2015-07-04 11:00:00'    4329.000                 132.901
'2015-07-04 12:00:00'    3772.500                 547.000
'2015-07-04 13:00:00'    4026.500                 245.533
'2015-07-04 14:00:00'    3768.000                 504.033
'2015-07-04 15:00:00'    3565.000                 517.165
'2015-07-04 16:00:00'    3170.500                 864.198
'2015-07-04 17:00:00'    2532.500                1644.599
'2015-07-04 18:00:00'    2731.500                1635.467
'2015-07-04 19:00:00'    1743.500                3003.203
'2015-07-04 20:00:00'    1901.000                2703.302
'2015-07-04 21:00:00'    2626.000                1883.368
'2015-07-04 22:00:00'    2566.000                1706.033
'2015-07-04 23:00:00'    2998.000                1036.698
'2015-07-05 00:00:00'    3208.000                 259.559
'2015-07-05 01:00:00'    3375.091      16.909            
'2015-07-05 02:00:00'    3190.155     153.845            
'2015-07-05 03:00:00'    3051.452     820.548            
'2015-07-05 04:00:00'    3005.218    1246.782            
'2015-07-05 05:00:00'    3005.218     956.782            
'2015-07-05 06:00:00'    3143.921     103.079            
'2015-07-05 07:00:00'    2626.000                 795.325
'2015-07-05 08:00:00'    2609.500                1227.932
'2015-07-05 09:00:00'    3661.500                 453.337
'2015-07-05 10:00:00'    3290.500                 963.039
'2015-07-05 11:00:00'    4290.500                  55.508
'2015-07-05 12:00:00'    4207.305    2887.695            
'2015-07-05 13:00:00'    4161.071    3540.429            
'2015-07-05 14:00:00'    4161.071    3678.929            
'2015-07-05 15:00:00'    3976.135    2652.365            
'2015-07-05 16:00:00'    3929.901     544.099            
'2015-07-05 17:00:00'    3350.000                 718.603
'2015-07-05 18:00:00'    2674.000                1579.539
'2015-07-05 19:00:00'    3834.000                 789.412
'2015-07-05 20:00:00'    4484.710    1637.290            
