
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-03 03:45:00'   431.707    19.200  1400.000   800.000   337.500   358.399
'2015-07-03 04:00:00'   514.159    19.200  1400.000   800.000   337.500   348.000
'2015-07-03 04:15:00'   660.676    19.200  1400.000   800.000   337.500   338.379
'2015-07-03 04:30:00'   688.679    19.200  1400.000   800.000   337.500   351.623
'2015-07-03 04:45:00'   700.000    19.200  1400.000   903.128   337.500   311.792
'2015-07-03 05:00:00'   700.000    19.200  1400.000  1003.840   337.500   306.000
'2015-07-03 05:15:00'   700.000    19.200  1400.000  1089.742   337.500   280.653
'2015-07-03 05:30:00'   700.000    19.200  1400.000  1163.101   337.500   290.864
'2015-07-03 05:45:00'   700.000    19.200  1400.000  1419.336   337.500   256.194
'2015-07-03 06:00:00'   700.000    19.200  1400.000  1443.467   337.500   272.000
'2015-07-03 06:15:00'   700.000    19.200  1400.000  1612.481   337.500   222.617
'2015-07-03 06:30:00'   700.000    19.200  1400.000  1984.670   337.500   185.246
'2015-07-03 06:45:00'   700.000    19.200  1448.080  2000.000   337.500   162.949
'2015-07-03 07:00:00'   700.000    19.200  1754.775  2000.000   337.500   114.000
'2015-07-03 07:15:00'   700.000    19.200  1978.066  2000.000   337.500    87.701
'2015-07-03 07:30:00'   700.000    19.200  2000.000  2000.000   489.681    69.475
'2015-07-03 07:45:00'   700.000    19.200  2000.000  2000.000   463.866    52.477
'2015-07-03 08:00:00'   700.000    48.000  2000.000  2000.000   675.000    33.000
'2015-07-03 08:15:00'   700.000    48.000  2000.000  2000.000   675.000    44.800
'2015-07-03 08:30:00'   700.000    48.000  2000.000  2000.000   675.000    51.667
'2015-07-03 08:45:00'   700.000    48.000  2000.000  2000.000   675.000    65.701
'2015-07-03 09:00:00'   700.000    48.000  2000.000  2000.000   675.000    69.000
'2015-07-03 09:15:00'   700.000    48.000  2000.000  2000.000   675.000    85.321
'2015-07-03 09:30:00'   700.000    48.000  2000.000  2000.000   675.000   104.591
'2015-07-03 09:45:00'   700.000    48.000  2000.000  2000.000   675.000   116.496
'2015-07-03 10:00:00'   700.000    48.000  2000.000  2000.000   675.000   135.000
'2015-07-03 10:15:00'   700.000    48.000  2000.000  2000.000   675.000   119.548
'2015-07-03 10:30:00'   700.000    48.000  2000.000  2000.000   675.000   124.381
'2015-07-03 10:45:00'   700.000    48.000  2000.000  2000.000   675.000   133.906
'2015-07-03 11:00:00'   700.000    48.000  2000.000  2000.000   675.000   126.000
'2015-07-03 11:15:00'   700.000    19.200  2000.000  2000.000   632.429   123.913
'2015-07-03 11:30:00'   700.000    48.000  2000.000  2000.000   675.000   105.574
'2015-07-03 11:45:00'   700.000    19.200  2000.000  2000.000   498.129   106.467
'2015-07-03 12:00:00'   700.000    19.200  2000.000  2000.000   579.850    90.000
'2015-07-03 12:15:00'   700.000    19.200  2000.000  2000.000   439.294    97.161
'2015-07-03 12:30:00'   700.000    19.200  2000.000  2000.000   440.342   121.359
'2015-07-03 12:45:00'   700.000    19.200  2000.000  2000.000   441.709   128.210
'2015-07-03 13:00:00'   700.000    19.200  2000.000  2000.000   479.903   132.000
'2015-07-03 13:15:00'   700.000    19.200  2000.000  2000.000   415.944   119.613
'2015-07-03 13:30:00'   700.000    19.200  2000.000  2000.000   535.045   144.597
'2015-07-03 13:45:00'   700.000    19.200  1976.590  2000.000   337.500   142.810
'2015-07-03 14:00:00'   700.000    19.200  2000.000  2000.000   366.009   130.000
'2015-07-03 14:15:00'   700.000    19.200  1975.043  2000.000   337.500   118.298
'2015-07-03 14:30:00'   700.000    19.200  1828.352  2000.000   337.500    97.165
'2015-07-03 14:45:00'   700.000    19.200  2000.000  2000.000   365.271    95.456
'2015-07-03 15:00:00'   700.000    19.200  1959.616  2000.000   337.500    83.000
'2015-07-03 15:15:00'   700.000    19.200  1932.670  2000.000   337.500    82.232
'2015-07-03 15:30:00'   700.000    19.200  1849.940  2000.000   337.500    83.324
'2015-07-03 15:45:00'   700.000    19.200  2000.000  2000.000   453.418    85.803
'2015-07-03 16:00:00'   700.000    19.200  2000.000  2000.000   410.009    86.000
'2015-07-03 16:15:00'   700.000    19.200  2000.000  2000.000   441.413    82.550
'2015-07-03 16:30:00'   700.000    19.200  2000.000  2000.000   364.721    91.030
'2015-07-03 16:45:00'   700.000    19.200  2000.000  2000.000   402.935   101.886
'2015-07-03 17:00:00'   700.000    19.200  2000.000  2000.000   512.903    99.000
'2015-07-03 17:15:00'   700.000    19.200  2000.000  2000.000   542.938   116.336
'2015-07-03 17:30:00'   700.000    19.200  2000.000  2000.000   623.781   152.569
'2015-07-03 17:45:00'   700.000    19.200  2000.000  2000.000   624.166   185.923
'2015-07-03 18:00:00'   700.000    19.200  2000.000  2000.000   649.690   194.000
'2015-07-03 18:15:00'   700.000    19.200  2000.000  2000.000   454.919   225.267
'2015-07-03 18:30:00'   700.000    19.200  2000.000  2000.000   628.082   257.621
'2015-07-03 18:45:00'   700.000    22.700  2000.000  2000.000   675.000   286.474
'2015-07-03 19:00:00'   700.000    19.200  2000.000  2000.000   637.583   322.000
'2015-07-03 19:15:00'   700.000    19.200  2000.000  2000.000   567.656   361.238
'2015-07-03 19:30:00'   700.000    19.200  2000.000  2000.000   587.337   356.323
'2015-07-03 19:45:00'   700.000    19.200  2000.000  2000.000   609.724   408.599
'2015-07-03 20:00:00'   700.000    19.200  2000.000  2000.000   419.690   424.000
'2015-07-03 20:15:00'   700.000    19.200  2000.000  2000.000   354.072   468.931
'2015-07-03 20:30:00'   700.000    19.200  1743.068  2000.000   337.500   520.177
'2015-07-03 20:45:00'   700.000    19.200  1650.683  2000.000   337.500   563.566
'2015-07-03 21:00:00'   700.000    19.200  1575.509  2000.000   337.500   583.000
'2015-07-03 21:15:00'   700.000    19.200  1400.000  1967.689   337.500   558.084
'2015-07-03 21:30:00'   700.000    19.200  1400.000  1842.224   337.500   634.914
