
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 19:30:00'   400.000   383.000   400.000  3050.487  1689.220    37.697
'2015-07-01 19:35:00'   400.000   383.000   400.000  2829.141  1843.721    33.824
'2015-07-01 19:40:00'   400.000   383.000   400.000  2840.755  1887.491    27.560
'2015-07-01 19:45:00'   400.000   383.000   400.000  2728.475  1945.923    23.666
'2015-07-01 19:50:00'   400.000   383.000   400.000  2492.836  1913.772    16.347
'2015-07-01 19:55:00'   400.000   383.000   400.000  2508.462  2034.659    10.288
'2015-07-01 20:00:00'   400.000   383.000   400.000  2554.609  2058.000     4.000
'2015-07-01 20:05:00'   400.000   383.000   400.000  2325.747  2170.003     3.299
'2015-07-01 20:10:00'   400.000   383.000   400.000  2467.274  2067.128     3.384
'2015-07-01 20:15:00'   400.000   383.000   400.000  2401.428  2027.424     2.591
'2015-07-01 20:20:00'   400.000   383.000   400.000  2468.648  2057.658     2.702
'2015-07-01 20:25:00'   400.000   383.000   400.000  2522.891  2021.160     2.543
'2015-07-01 20:30:00'   400.000   383.000   400.000  2370.074  2075.757     1.919
'2015-07-01 20:35:00'   400.000   383.000   400.000  2273.496  2051.364     1.888
'2015-07-01 20:40:00'   400.000   383.000   400.000  2085.953  2088.127     1.307
'2015-07-01 20:45:00'   400.000   383.000   400.000  2261.032  2036.783     0.997
'2015-07-01 20:50:00'   400.000   383.000   400.000  2314.181  2071.518     0.687
'2015-07-01 20:55:00'   400.000   383.000   400.000  2173.954  2012.183     0.349
'2015-07-01 21:00:00'   400.000   383.000   400.000  2195.133  2059.000          
'2015-07-01 21:05:00'   400.000   383.000   400.000  2043.050  2124.013          
'2015-07-01 21:10:00'   400.000   383.000   400.000  2027.070  2064.299          
'2015-07-01 21:15:00'   400.000   383.000   400.000  1977.589  2136.162          
'2015-07-01 21:20:00'   400.000   383.000   400.000  1942.821  2081.170          
'2015-07-01 21:25:00'   400.000   383.000   400.000  1892.498  2187.271          
'2015-07-01 21:30:00'   400.000   383.000   400.000  1715.809  2152.613          
'2015-07-01 21:35:00'   400.000   383.000   400.000  1865.534  2085.074          
'2015-07-01 21:40:00'   400.000   383.000   400.000  1663.513  2113.070          
'2015-07-01 21:45:00'   400.000   383.000   400.000  1669.450  2158.422          
'2015-07-01 21:50:00'   400.000   383.000   400.000  1487.016  2180.352          
